capabilities_id,capability_name,department_id
C00001,Artificial Intelligence & Machine Learning,"D00003,D00005,D00007"
C00002,Statistical Learning & Inference,"D00007,D00003,D00004"
C00003,Time Series Analysis & Forecasting,"D00007,D00001,D00005"
C00004,Applied Data Analytics & Decision Support,"D00005,D00001,D00003"
C00005,High-Dimensional Data Modeling,"D00007,D00003"
C00006,Optimization & Operations Research,"D00001,D00007"
C00007,Distributed & Parallel Computing,"D00003,D00002"
C00008,High-Performance Computing (HPC),"D00003,D00002"
C00009,Scientific Machine Learning,"D00003,D00007,D00004"
C00010,Cybersecurity & Secure Systems,"D00003,D00005,D00002"
C00011,Side-Channel Analysis & Evaluation,"D00002,D00003"
C00012,Secure Communications & Networking,"D00002,D00003"
C00013,Trusted Software & Compiler Infrastructure,"D00003,D00005"
C00014,Privacy-Preserving & Robust Learning,"D00003,D00007"
C00015,Autonomous Systems & Mission Planning,"D00001,D00003,D00002"
C00016,Humanâ€“Autonomy Teaming,"D00001,D00005"
C00017,Robotics & Intelligent Systems,"D00002,D00006"
C00018,Control Systems & Adaptive Decision-Making,"D00002,D00001"
C00019,Signal Processing & RF Systems,"D00002,D00003"
C00020,Distributed Sensing & Monitoring,"D00002,D00008"
C00021,Spectrum Management & Wireless Systems,"D00002,D00001"
C00022,"Imaging, Instrumentation & Measurement","D00004,D00002"
C00023,"Modeling, Simulation & Digital Twins","D00001,D00006"
C00024,"Risk, Reliability & Resilience Modeling","D00001,D00008"
C00025,Infrastructure Systems Engineering,"D00008,D00001"
C00026,Biomedical Signal Processing & Imaging,"D00004,D00009"
C00027,Neuromechanics & Human Movement Modeling,"D00004,D00006"
C00028,Rehabilitation Engineering & Prosthetics,"D00004,D00009"
C00029,Language Technologies & Computational Linguistics,"D00003,D00005"
C00030,Immersive Analytics & Human-Centered Interfaces,"D00005,D00003"
C00031,Software Systems Engineering & DevSecOps,"D00005,D00003,D00001"
C00032,Data Engineering & Scalable Data Infrastructure,"D00005,D00003,D00007"
C00033,"AI Assurance, Testing & Evaluation","D00005,D00003,D00007,D00001"